Formula Name,Group,Grouped,flag,Formula Description,Formula,Unit
TOTAL_MC3_READ_BW,2,n,0,Total Read Bandwidth seen on both MCS of MC3,(PM_MCS_UP_128B_DATA_XFER_MC3*128*PB_Freq)/ PM_PB_CYC,bytes/sec
TOTAL_MC0_WRITE_BW,3,n,0,Total Write Bandwidth seen on both MCS of MC0,(PM_MCS_DOWN_128B_DATA_XFER_MC0*128*PB_Freq)/ PM_PB_CYC,bytes/sec
TOTAL_MC1_WRITE_BW,3,n,0,Total Write Bandwidth seen on both MCS of MC1,(PM_MCS_DOWN_128B_DATA_XFER_MC1*128*PB_Freq)/ PM_PB_CYC,bytes/sec
TOTAL_MC2_WRITE_BW,3,n,0,Total Write Bandwidth seen on both MCS of MC2,(PM_MCS_DOWN_128B_DATA_XFER_MC2*128*PB_Freq)/ PM_PB_CYC,bytes/sec
TOTAL_MC3_WRITE_BW,3,n,0,Total Write Bandwidth seen on both MCS of MC3,(PM_MCS_DOWN_128B_DATA_XFER_MC3*128*PB_Freq)/ PM_PB_CYC,bytes/sec
TOTAL_INBOUND_XLINK0_BW,4,y,4,Total X-Link0 inbound data cycles,(PM_XLINK0_IN_DATA_CYC * 8 * XBUS_Freq) / PM_XLINK_CYCLES,bytes/sec
TOTAL_INBOUND_XLINK1_BW,4,y,4,Total X-Link1 inbound data cycles,(PM_XLINK1_IN_DATA_CYC * 8 * XBUS_Freq) / PM_XLINK_CYCLES,bytes/sec
TOTAL_INBOUND_XLINK3_BW,4,y,4,Total X-Link2 inbound data cycles,(PM_XLINK3_IN_DATA_CYC * 8 * XBUS_Freq) / PM_XLINK_CYCLES,bytes/sec
TOTAL_XLINK0_UTILISATION%,5,y,4,Total X-Link0 inbound Idle cycles,(1 - PM_XLINK0_IN_IDL_CYC/PM_XLINK_CYCLES)*100,%
TOTAL_XLINK1_UTILISATION%,5,y,4,Total X-Link1 inbound Idle cycles,(1 - PM_XLINK1_IN_IDL_CYC/PM_XLINK_CYCLES)*100,%
TOTAL_XLINK3_UTILISATION%,5,y,4,Total X-Link3 inbound Idle cycles,(1 - PM_XLINK3_IN_IDL_CYC/PM_XLINK_CYCLES)*100,%
TOTAL_INBOUND_ALINK0_BW,6,y,4,Total A-Link0 inbound data cycles,(PM_ALINK0_IN_DATA_CYC * 8 * ABUS_Freq) / PM_ALINK_CYCLES,bytes/sec
TOTAL_INBOUND_ALINK1_BW,6,y,4,Total A-Link1 inbound data cycles,(PM_ALINK1_IN_DATA_CYC * 8 * ABUS_Freq) / PM_ALINK_CYCLES,bytes/sec
TOTAL_INBOUND_ALINK2_BW,6,y,4,Total A-Link2 inbound data cycles,(PM_ALINK2_IN_DATA_CYC * 8 * ABUS_Freq) / PM_ALINK_CYCLES,bytes/sec
TOTAL_ALINK0_UTILISATION%,7,y,4,Total A-Link0 inbound Idle cycles,(1 - PM_ALINK0_IN_IDL_CYC/PM_ALINK_CYCLES)*100,%
TOTAL_ALINK1_UTILISATION%,7,y,4,Total A-Link1 inbound Idle cycles,(1 - PM_ALINK1_IN_IDL_CYC/PM_ALINK_CYCLES)*100,%
TOTAL_ALINK2_UTILISATION%,7,y,4,Total A-Link2 inbound Idle cycles,(1 - PM_ALINK2_IN_IDL_CYC/PM_ALINK_CYCLES)*100,%
TOTAL_PHB0_DMA_BW,8,y,4,"DMA (any, read or write) BW received from the PCIE link for PHB 0",((PM_PHB_ANY_DMA_RCV_PHB0) *256/ PM_PHB_CYC_CNT_PHB0) * PHB_Freq,bytes/sec
TOTAL_PHB0_TCE_MISS_PERSEC,8,y,4,Total TCE Cache Miss any(Read or Write) for PHB 0 per second,((PM_PHB_ANY_TCE_MISS_PHB0) / PM_PHB_CYC_CNT_PHB0) * PHB_Freq,
TOTAL_PHB0_MSI_INTR_PERSEC,8,y,4,Total MSI interrupt received from PCIE link for PHB 0 per second,((PM_PHB_MSI_INTR_PHB0) / PM_PHB_CYC_CNT_PHB0) * PHB_Freq,
TOTAL_PHB1_DMA_BW,9,y,4,"DMA (any, read or write) BW received from the PCIE link for PHB 1",((PM_PHB_ANY_DMA_RCV_PHB1) *256/ PM_PHB_CYC_CNT_PHB1) * PHB_Freq,bytes/sec
TOTAL_PHB1_TCE_MISS_PERSEC,9,y,4,Total TCE Cache Miss any(Read or Write) for PHB 1 per second,((PM_PHB_ANY_TCE_MISS_PHB1) / PM_PHB_CYC_CNT_PHB1) * PHB_Freq,
TOTAL_PHB1_MSI_INTR_PERSEC,9,y,4,Total MSI interrupt received from PCIE link for PHB 1 per second,((PM_PHB_MSI_INTR_PHB1) / PM_PHB_CYC_CNT_PHB1) * PHB_Freq,
TOTAL_PHB2_DMA_BW,10,y,4,"DMA (any, read or write) BW received from the PCIE link for PHB 2",((PM_PHB_ANY_DMA_RCV_PHB2) *256/ PM_PHB_CYC_CNT_PHB2) * PHB_Freq,bytes/sec
TOTAL_PHB2_TCE_MISS_PERSEC,10,y,4,Total TCE Cache Miss any(Read or Write) for PHB 2 per second,((PM_PHB_ANY_TCE_MISS_PHB2) / PM_PHB_CYC_CNT_PHB2) * PHB_Freq,
TOTAL_PHB2_MSI_INTR_PERSEC,10,y,4,Total MSI interrupt received from PCIE link for PHB 2 per second,((PM_PHB_MSI_INTR_PHB2) / PM_PHB_CYC_CNT_PHB2) * PHB_Freq,
