domain,counter offset,name,group count,detailed description,flag,record byte offset,record length,primary group index,description
2,24,HPM_CCYC,1,,0,128,64,2,"Count of clock transitions used for interval measurement. This clock is constant, set at CEC at power up"
2,32,HPM_CORE_ALL_THRD_NON_IDLE_PCYC,1,,0,64,64,1,Count of processor cycles when all (logical AND) qualified threads are non-idle
2,24,HPM_CS_1PLUS_PPC_CMPL,1,,0,2752,64,43,One or more architected instructions finished
2,24,HPM_CS_1PLUS_PPC_CMPL_KERNEL,1,,0,6848,64,43,
2,24,HPM_CS_1PLUS_PPC_CMPL_USER,1,,0,4800,64,43,
2,32,HPM_CS_2_GRP_CMPL,1,,0,2496,64,39,Processor cycles in which two groups complete
2,32,HPM_CS_2_GRP_CMPL_KERNEL,1,,0,6592,64,39,
2,32,HPM_CS_2_GRP_CMPL_USER,1,,0,4544,64,39,
2,32,HPM_CS_32MHZ_CYC,1,,0,2240,64,35,Count of 32 MHZ clock transitions qualified by CodeState. (Time calibration.)
2,32,HPM_CS_32MHZ_CYC_KERNEL,1,,0,6336,64,35,
2,32,HPM_CS_32MHZ_CYC_USER,1,,0,4288,64,35,
2,32,HPM_CS_BRU_CMPL,1,,0,2368,64,37,Sum of branch instruction completed across all threads qualified by CodeState
2,32,HPM_CS_BRU_CMPL_KERNEL,1,,0,6464,64,37,
2,32,HPM_CS_BRU_CMPL_USER,1,,0,4416,64,37,
2,24,HPM_CS_BR_MPRED,1,,0,2432,64,38,Branches mispredicted
2,24,HPM_CS_BR_MPRED_KERNEL,1,,0,6528,64,38,
2,24,HPM_CS_BR_MPRED_USER,1,,0,4480,64,38,
2,32,HPM_CS_BR_TAKEN,1,,0,2432,64,38,Taken Branches
2,32,HPM_CS_BR_TAKEN_KERNEL,1,,0,6528,64,38,
2,32,HPM_CS_BR_TAKEN_USER,1,,0,4480,64,38,
2,32,HPM_CS_CMPLU_STALL_PCYC,1,,0,2752,64,43,No groups completed - GCT not empty
2,32,HPM_CS_CMPLU_STALL_PCYC_KERNEL,1,,0,6848,64,43,
2,32,HPM_CS_CMPLU_STALL_PCYC_USER,1,,0,4800,64,43,
2,32,HPM_CS_CORE_GCT_EMPTY_PCYC,1,,0,2624,64,41,Cycles when GCT is empty| proc cycles
2,32,HPM_CS_CORE_GCT_EMPTY_PCYC_KERNEL,1,,0,6720,64,41,
2,32,HPM_CS_CORE_GCT_EMPTY_PCYC_USER,1,,0,4672,64,41,
2,32,HPM_CS_CORE_MODE_SMT2_CCYC,1,,0,2112,64,33,Count of constant clock transitions while core mode is SMT2
2,32,HPM_CS_CORE_MODE_SMT2_CCYC_KERNEL,1,,0,6208,64,33,
2,32,HPM_CS_CORE_MODE_SMT2_CCYC_USER,1,,0,4160,64,33,
2,24,HPM_CS_CORE_MODE_SMT4_CCYC,1,,0,2176,64,34,Count of constant clock transitions while core mode is SMT4
2,24,HPM_CS_CORE_MODE_SMT4_CCYC_KERNEL,1,,0,6272,64,34,
2,24,HPM_CS_CORE_MODE_SMT4_CCYC_USER,1,,0,4224,64,34,
2,32,HPM_CS_CORE_MODE_SMT8_CCYC,1,,0,2176,64,34,Count of constant clock transitions while core mode is SMT8
2,32,HPM_CS_CORE_MODE_SMT8_CCYC_KERNEL,1,,0,6272,64,34,
2,32,HPM_CS_CORE_MODE_SMT8_CCYC_USER,1,,0,4224,64,34,
2,24,HPM_CS_CORE_MODE_ST_CCYC,1,,0,2112,64,33,Count of constant clock transitions while core mode is ST
2,24,HPM_CS_CORE_MODE_ST_CCYC_KERNEL,1,,0,6208,64,33,
2,24,HPM_CS_CORE_MODE_ST_CCYC_USER,1,,0,4160,64,33,
2,24,HPM_CS_CORE_PCYC,1,,0,2240,64,35,"Count of clock transitions used for interval measurement, qualified byCodeState. This clock is constant, set at CEC at power up"
2,24,HPM_CS_CORE_PCYC_KERNEL,1,,0,6336,64,35,
2,24,HPM_CS_CORE_PCYC_USER,1,,0,4288,64,35,
2,24,HPM_CS_DATA_TABLEWALK_PCYC,1,,0,2688,64,42,Data Tablewalk Active cycles
2,24,HPM_CS_DATA_TABLEWALK_PCYC_KERNEL,1,,0,6784,64,42,
2,24,HPM_CS_DATA_TABLEWALK_PCYC_USER,1,,0,4736,64,42,
2,24,HPM_CS_DERAT_MISS,1,,0,3776,64,59,DERAT reload
2,24,HPM_CS_DERAT_MISS_KERNEL,1,,0,7872,64,59,
2,24,HPM_CS_DERAT_MISS_USER,1,,0,5824,64,59,
2,32,HPM_CS_DISP_HELD_PCYC,1,,0,2560,64,40,Instruction dispatch held cycles
2,32,HPM_CS_DISP_HELD_PCYC_KERNEL,1,,0,6656,64,40,
2,32,HPM_CS_DISP_HELD_PCYC_USER,1,,0,4608,64,40,
2,32,HPM_CS_DTLB_MISS_16G,1,,0,3904,64,61,DTLB miss| 16G page
2,32,HPM_CS_DTLB_MISS_16G_KERNEL,1,,0,8000,64,61,
2,32,HPM_CS_DTLB_MISS_16G_USER,1,,0,5952,64,61,
2,24,HPM_CS_DTLB_MISS_16M,1,,0,3904,64,61,DTLB miss| 16M page
2,24,HPM_CS_DTLB_MISS_16M_KERNEL,1,,0,8000,64,61,
2,24,HPM_CS_DTLB_MISS_16M_USER,1,,0,5952,64,61,
2,24,HPM_CS_DTLB_MISS_4K,1,,0,3840,64,60,DTLB miss| 4K page
2,24,HPM_CS_DTLB_MISS_4K_KERNEL,1,,0,7936,64,60,
2,24,HPM_CS_DTLB_MISS_4K_USER,1,,0,5888,64,60,
2,32,HPM_CS_DTLB_MISS_64K,1,,0,3840,64,60,DTLB miss| 64K page
2,32,HPM_CS_DTLB_MISS_64K_KERNEL,1,,0,7936,64,60,
2,32,HPM_CS_DTLB_MISS_64K_USER,1,,0,5888,64,60,
2,32,HPM_CS_DTLB_RELOAD,1,,0,3776,64,59,Sum of dTLB reloads across all threads qualified by CodeState
2,32,HPM_CS_DTLB_RELOAD_KERNEL,1,,0,7872,64,59,
2,32,HPM_CS_DTLB_RELOAD_USER,1,,0,5824,64,59,
2,24,HPM_CS_FLOP,1,,0,2368,64,37,Sum of floating-point instructions finished across threads qualified by CodeState
2,24,HPM_CS_FLOP_KERNEL,1,,0,6464,64,37,
2,24,HPM_CS_FLOP_USER,1,,0,4416,64,37,
2,32,HPM_CS_FLUSH,1,,0,2688,64,42,Core Flush
2,32,HPM_CS_FLUSH_KERNEL,1,,0,6784,64,42,
2,32,HPM_CS_FLUSH_USER,1,,0,4736,64,42,
2,24,HPM_CS_FROM_L2_IFETCH,1,,0,2880,64,45,L2 instruction instruction hit| core-local
2,24,HPM_CS_FROM_L2_IFETCH_KERNEL,1,,0,6976,64,45,
2,24,HPM_CS_FROM_L2_IFETCH_USER,1,,0,4928,64,45,
2,32,HPM_CS_FROM_L2_L3_A_IFETCH,1,,0,3072,64,48,Instruction instruction hit| A-link L2 L3
2,32,HPM_CS_FROM_L2_L3_A_IFETCH_KERNEL,1,,0,7168,64,48,
2,32,HPM_CS_FROM_L2_L3_A_IFETCH_USER,1,,0,5120,64,48,
2,32,HPM_CS_FROM_L2_L3_A_LDATA,1,,0,3456,64,54,Data load hit- A-link L2 L3
2,32,HPM_CS_FROM_L2_L3_A_LDATA_KERNEL,1,,0,7552,64,54,
2,32,HPM_CS_FROM_L2_L3_A_LDATA_USER,1,,0,5504,64,54,
2,24,HPM_CS_FROM_L2_L3_X_IFETCH,1,,0,3072,64,48,Instruction instruction hit| X-link L2 L3
2,24,HPM_CS_FROM_L2_L3_X_IFETCH_KERNEL,1,,0,7168,64,48,
2,24,HPM_CS_FROM_L2_L3_X_IFETCH_USER,1,,0,5120,64,48,
2,24,HPM_CS_FROM_L2_L3_X_LDATA,1,,0,3456,64,54,Data load hit - X-link L2 L3
2,24,HPM_CS_FROM_L2_L3_X_LDATA_KERNEL,1,,0,7552,64,54,
2,24,HPM_CS_FROM_L2_L3_X_LDATA_USER,1,,0,5504,64,54,
2,24,HPM_CS_FROM_L2_LDATA,1,,0,3264,64,51,L2 data load hit - core-local
2,24,HPM_CS_FROM_L2_LDATA_KERNEL,1,,0,7360,64,51,
2,24,HPM_CS_FROM_L2_LDATA_USER,1,,0,5312,64,51,
2,32,HPM_CS_FROM_L3_IFETCH,1,,0,2880,64,45,L3 instruction instruction hit| core-local
2,32,HPM_CS_FROM_L3_IFETCH_KERNEL,1,,0,6976,64,45,
2,32,HPM_CS_FROM_L3_IFETCH_USER,1,,0,4928,64,45,
2,32,HPM_CS_FROM_L3_LDATA,1,,0,3264,64,51,L3 data load hit - core-local
2,32,HPM_CS_FROM_L3_LDATA_KERNEL,1,,0,7360,64,51,
2,32,HPM_CS_FROM_L3_LDATA_USER,1,,0,5312,64,51,
2,24,HPM_CS_FROM_L4_IFETCH,1,,0,3008,64,47,Instruction instruction hit| Chip-Local L4
2,24,HPM_CS_FROM_L4_IFETCH_KERNEL,1,,0,7104,64,47,
2,24,HPM_CS_FROM_L4_IFETCH_USER,1,,0,5056,64,47,
2,24,HPM_CS_FROM_L4_LDATA,1,,0,3392,64,53,Data data hit - Chip-Local L4
2,24,HPM_CS_FROM_L4_LDATA_KERNEL,1,,0,7488,64,53,
2,24,HPM_CS_FROM_L4_LDATA_USER,1,,0,5440,64,53,
2,32,HPM_CS_FROM_L4_MEM_A_DPTEG,1,,0,3968,64,62,Data PTEG L3 miss| off-node source
2,32,HPM_CS_FROM_L4_MEM_A_DPTEG_KERNEL,1,,0,8064,64,62,
2,32,HPM_CS_FROM_L4_MEM_A_DPTEG_USER,1,,0,6016,64,62,
2,32,HPM_CS_FROM_L4_MEM_A_IFETCH,1,,0,3136,64,49,Instruction instruction hit| A-link L4 MEM
2,32,HPM_CS_FROM_L4_MEM_A_IFETCH_KERNEL,1,,0,7232,64,49,
2,32,HPM_CS_FROM_L4_MEM_A_IFETCH_USER,1,,0,5184,64,49,
2,32,HPM_CS_FROM_L4_MEM_A_IPTEG,1,,0,3712,64,58,Instruction PTEG miss satisified by off-node source
2,32,HPM_CS_FROM_L4_MEM_A_IPTEG_KERNEL,1,,0,7808,64,58,
2,32,HPM_CS_FROM_L4_MEM_A_IPTEG_USER,1,,0,5760,64,58,
2,32,HPM_CS_FROM_L4_MEM_A_LDATA,1,,0,3520,64,55,Data load hit- A-link L4 MEM
2,32,HPM_CS_FROM_L4_MEM_A_LDATA_KERNEL,1,,0,7616,64,55,
2,32,HPM_CS_FROM_L4_MEM_A_LDATA_USER,1,,0,5568,64,55,
2,24,HPM_CS_FROM_L4_MEM_X_DPTEG,1,,0,3968,64,62,Data PTEG L3| off-chip but node-local source
2,24,HPM_CS_FROM_L4_MEM_X_DPTEG_KERNEL,1,,0,8064,64,62,
2,24,HPM_CS_FROM_L4_MEM_X_DPTEG_USER,1,,0,6016,64,62,
2,24,HPM_CS_FROM_L4_MEM_X_IFETCH,1,,0,3136,64,49,Instruction instruction hit| X-link L4 MEM
2,24,HPM_CS_FROM_L4_MEM_X_IFETCH_KERNEL,1,,0,7232,64,49,
2,24,HPM_CS_FROM_L4_MEM_X_IFETCH_USER,1,,0,5184,64,49,
2,24,HPM_CS_FROM_L4_MEM_X_IPTEG,1,,0,3712,64,58,Instruction PTEG L3 miss satisified by off-chip- but node-local source
2,24,HPM_CS_FROM_L4_MEM_X_IPTEG_KERNEL,1,,0,7808,64,58,
2,24,HPM_CS_FROM_L4_MEM_X_IPTEG_USER,1,,0,5760,64,58,
2,24,HPM_CS_FROM_L4_MEM_X_LDATA,1,,0,3520,64,55,Data load hit - X-link L4 MEM
2,24,HPM_CS_FROM_L4_MEM_X_LDATA_KERNEL,1,,0,7616,64,55,
2,24,HPM_CS_FROM_L4_MEM_X_LDATA_USER,1,,0,5568,64,55,
2,32,HPM_CS_FROM_MEM_IFETCH,1,,0,3008,64,47,Instruction instruction hit| Chip-Local Memory
2,32,HPM_CS_FROM_MEM_IFETCH_KERNEL,1,,0,7104,64,47,
2,32,HPM_CS_FROM_MEM_IFETCH_USER,1,,0,5056,64,47,
2,32,HPM_CS_FROM_MEM_LDATA,1,,0,3392,64,53,Data data hit - Chip-Local Memory
2,32,HPM_CS_FROM_MEM_LDATA_KERNEL,1,,0,7488,64,53,
2,32,HPM_CS_FROM_MEM_LDATA_USER,1,,0,5440,64,53,
2,32,HPM_CS_FROM_MEM_LOCAL,1,,0,4032,64,63,"Sum of data and instruction cache misses that are satisfied by On-Chip Memory, qualified by CodeState"
2,32,HPM_CS_FROM_MEM_LOCAL_KERNEL,1,,0,8128,64,63,
2,32,HPM_CS_FROM_MEM_LOCAL_USER,1,,0,6080,64,63,
2,24,HPM_CS_FROM_MEM_NON_LOCAL,1,,0,4032,64,63,"Sum of data and instruction cache misses that are satisfied by Off-Chip Memory, qualified by CodeState"
2,24,HPM_CS_FROM_MEM_NON_LOCAL_KERNEL,1,,0,8128,64,63,
2,24,HPM_CS_FROM_MEM_NON_LOCAL_USER,1,,0,6080,64,63,
2,24,HPM_CS_FROM_ON_CHIP_L2_IFETCH,1,,0,2944,64,46,Instruction instruction hit| Chip-Local L2
2,24,HPM_CS_FROM_ON_CHIP_L2_IFETCH_KERNEL,1,,0,7040,64,46,
2,24,HPM_CS_FROM_ON_CHIP_L2_IFETCH_USER,1,,0,4992,64,46,
2,24,HPM_CS_FROM_ON_CHIP_L2_LDATA,1,,0,3328,64,52,Data data hit - Chip-Local L2
2,24,HPM_CS_FROM_ON_CHIP_L2_LDATA_KERNEL,1,,0,7424,64,52,
2,24,HPM_CS_FROM_ON_CHIP_L2_LDATA_USER,1,,0,5376,64,52,
2,32,HPM_CS_FROM_ON_CHIP_L3_IFETCH,1,,0,2944,64,46,Instruction instruction hit| Chip-Local L3
2,32,HPM_CS_FROM_ON_CHIP_L3_IFETCH_KERNEL,1,,0,7040,64,46,
2,32,HPM_CS_FROM_ON_CHIP_L3_IFETCH_USER,1,,0,4992,64,46,
2,32,HPM_CS_FROM_ON_CHIP_L3_LDATA,1,,0,3328,64,52,Data data hit - Chip-Local L3
2,32,HPM_CS_FROM_ON_CHIP_L3_LDATA_KERNEL,1,,0,7424,64,52,
2,32,HPM_CS_FROM_ON_CHIP_L3_LDATA_USER,1,,0,5376,64,52,
2,24,HPM_CS_GRP_CMPL,1,,0,2496,64,39,Groups Completed
2,24,HPM_CS_GRP_CMPL_KERNEL,1,,0,6592,64,39,
2,24,HPM_CS_GRP_CMPL_USER,1,,0,4544,64,39,
2,32,HPM_CS_HPM_CS_ST_FIN,1,,0,3584,64,56,Sum of store instructions finished across all threads qualified by CodeState
2,32,HPM_CS_HPM_CS_ST_FIN_KERNEL,1,,0,7680,64,56,
2,32,HPM_CS_HPM_CS_ST_FIN_USER,1,,0,5632,64,56,
2,24,HPM_CS_HPM_MISS_L1_LDATA,1,,0,3200,64,50,L1 data load demand miss
2,24,HPM_CS_HPM_MISS_L1_LDATA_KERNEL,1,,0,7296,64,50,
2,24,HPM_CS_HPM_MISS_L1_LDATA_USER,1,,0,5248,64,50,
2,24,HPM_CS_IERAT_MISS,1,,0,3648,64,57,IERAT reload
2,24,HPM_CS_IERAT_MISS_KERNEL,1,,0,7744,64,57,
2,24,HPM_CS_IERAT_MISS_USER,1,,0,5696,64,57,
2,32,HPM_CS_IFETCH_DEMAND_PCYC,1,,0,2816,64,44,Processor cycles when a demand ifetch was pending
2,32,HPM_CS_IFETCH_DEMAND_PCYC_KERNEL,1,,0,6912,64,44,
2,32,HPM_CS_IFETCH_DEMAND_PCYC_USER,1,,0,4864,64,44,
2,32,HPM_CS_INST,1,,0,2048,64,32,Sum of instructions finished across threads qualified by CodeState
2,32,HPM_CS_INST_KERNEL,1,,0,6144,64,32,
2,32,HPM_CS_INST_USER,1,,0,4096,64,32,
2,32,HPM_CS_ITLB_RELOAD,1,,0,3648,64,57,Sum of ITLB reloads across all threads qualified by CodeState
2,32,HPM_CS_ITLB_RELOAD_KERNEL,1,,0,7744,64,57,
2,32,HPM_CS_ITLB_RELOAD_USER,1,,0,5696,64,57,
2,24,HPM_CS_L1_MISS_IFETCH,1,,0,2816,64,44,Demand Ifetch L1 miss
2,24,HPM_CS_L1_MISS_IFETCH_KERNEL,1,,0,6912,64,44,
2,24,HPM_CS_L1_MISS_IFETCH_USER,1,,0,4864,64,44,
2,24,HPM_CS_LSU_EMPTY_PCYC,1,,0,2624,64,41,LSU empty proc cycles
2,24,HPM_CS_LSU_EMPTY_PCYC_KERNEL,1,,0,6720,64,41,
2,24,HPM_CS_LSU_EMPTY_PCYC_USER,1,,0,4672,64,41,
2,24,HPM_CS_PCYC,1,,0,2048,64,32,Sum of processor cycles qualified by CodeState. (Processor clock may vary dynamically.)
2,24,HPM_CS_PCYC_KERNEL,1,,0,6144,64,32,
2,24,HPM_CS_PCYC_USER,1,,0,4096,64,32,
2,24,HPM_CS_PPC_DISP,1,,0,2560,64,40,Architected instructions dispatched
2,24,HPM_CS_PPC_DISP_KERNEL,1,,0,6656,64,40,
2,24,HPM_CS_PPC_DISP_USER,1,,0,4608,64,40,
2,32,HPM_CS_PURR,1,,0,2304,64,36,Sum of PURR transitions across all threads qualified by CodeState
2,32,HPM_CS_PURR_KERNEL,1,,0,6400,64,36,
2,32,HPM_CS_PURR_USER,1,,0,4352,64,36,
2,24,HPM_CS_SPURR,1,,0,2304,64,36,Sum of SPURR transitions across all threads qualified by CodeState
2,24,HPM_CS_SPURR_KERNEL,1,,0,6400,64,36,
2,24,HPM_CS_SPURR_USER,1,,0,4352,64,36,
2,24,HPM_CS_ST_MISS_L1,1,,0,3584,64,56,Store Missed L1
2,24,HPM_CS_ST_MISS_L1_KERNEL,1,,0,7680,64,56,
2,24,HPM_CS_ST_MISS_L1_USER,1,,0,5632,64,56,
2,24,HPM_EXT_INT,1,,0,1344,64,21,Count of external interrupts across qualified threads
2,24,HPM_FREQ_SLEW_DOWN_CCYC,1,,0,896,64,14,Count of constant clock transitions while processor core clock was lower than nominal
2,32,HPM_FREQ_SLEW_UP_CCYC,1,,0,896,64,14,Count of constant clock transitions while processor core clock was higher than nominal
2,32,HPM_INST,1,,0,0,64,0,Sum of instructions finished across qualified threads
2,32,HPM_LARX_FIN,1,,0,832,64,13,Count of # LARX instructions that finished in LSU pipe0
2,24,HPM_LWSYNC_PCYC,1,,0,1984,64,31,Count of cycles threads were stalled at completion because of a lwsync/isync
2,32,HPM_MSR_ADJUNCT_CCYC,1,,0,1728,64,27,Count of constant clock transitions when MSR HV=1 & PR=1 (adjunct) Non-Idle Duration
2,24,HPM_MSR_AJUNCT_INST,1,,0,1728,64,27,Count of Non-Idle instructions executed while in MSR HV=1 & PR=1 (adjunct)
2,32,HPM_MSR_EXT_INT_DIS_CCYC,1,,0,1344,64,21,MSR EE=0 (ExtIntr Disabled) Duration
2,32,HPM_MSR_HV_CCYC,1,,0,1664,64,26,Count of constant clock transitions when MSR HV=1 & PR=0 (hypervisor) Non-Idle Duration
2,24,HPM_MSR_HV_INST,1,,0,1664,64,26,Count of Non-Idle instructions executed while in MSR HV=1 & PR=0 (hypervisor)
2,32,HPM_MSR_PRIV_CCYC,1,,0,1536,64,24,Count of constant clock transitions when MSR HV=0 & PR=0 (priv) Non-Idle
2,24,HPM_MSR_PRIV_INST,1,,0,1536,64,24,Non-Idle Instruction count while MSR HV=0 & PR=0 (priv)
2,32,HPM_MSR_PROB_CCYC,1,,0,1600,64,25,Count of constant clock transitions when MSR HV=0 & PR=1 (problem) Non-Idle Duration
2,24,HPM_MSR_PROB_INST,1,,0,1600,64,25,Count of Non-Idle instructions executed while in MSR HV=0 & PR=1 (problem state)
2,32,HPM_MSR_TA_LIC_CCYC,1,,0,1792,64,28,Count of constant clock transitions when MSR US=0 & PR=0 & TA=1 Non-Idle Duration
2,24,HPM_MSR_TA_LIC_INST,1,,0,1792,64,28,Count of Non-Idle instructions executed while in MSR US=0 & PR=0 & TA=1
2,24,HPM_MSR_TA_SYSTEM_INST,1,,0,1856,64,29,Count of Non-Idle instructions executed while in MSR US=0 & PR=1 & TA=1
2,32,HPM_MSR_TA_SYS_CCYC,1,,0,1856,64,29,Count of constant clock transitions when MSR US=0 & PR=1 & TA=1 Non-Idle Duration
2,32,HPM_MSR_TA_USER_CCYC,1,,0,1920,64,30,Count of constant clock transitions when MSR US=1 & PR=1 & TA=1 Non-Idle Duration
2,24,HPM_MSR_TA_USER_INST,1,,0,1920,64,30,Count of Non-Idle instructions executed while in MSR US=1 & PR=1 & TA=1
2,32,HPM_MSR_TRANSMEM_CCYC,1,,0,1408,64,22,MSR TM=1 (TransMem) Duration
2,24,HPM_MSR_TRANSMEM_INST,1,,0,1408,64,22,MSR TM=1 (TransMem) Instructions
2,40,HPM_NON_IDLE_INST,1,,0,0,64,0,Sum of all instsructions completed while the processor wasn't idle
2,48,HPM_NON_IDLE_PCYC,1,,0,0,64,0,Sum of all processor cycles completed while the processor wasn't idle
2,24,HPM_PCYC,1,,0,0,64,0,Sum of processor cycles across qualified threads. (Processor clock may vary dynamically.)
2,32,HPM_STCX_FAIL,1,,0,768,64,12,Count of # STCX instructions that failed (did not finish)
2,24,HPM_STCX_FIN,1,,0,768,64,12,Count of # STCX instructions that finished
2,32,HPM_SYNC_PCYC,1,,0,1984,64,31,Count of cycles threads were stalled at completion waiting on a hwsync sync ack
2,24,HPM_TC_1_CCYC,1,,0,1216,64,19,Count of constant clock transitions when zero or one qualified threads are on-line
2,32,HPM_TC_2_CCYC,1,,0,1216,64,19,Duration of two on-line threads
2,24,HPM_TC_4_CCYC,1,,0,1280,64,20,Count of constant clock transitions when of three or four on-line threads
2,32,HPM_TC_8_CCYC,1,,0,1280,64,20,Duration of five to eight on-line threads
2,24,HPM_THREAD_NAP_CCYC,1,,0,1472,64,23,Sum of constant clock transitions across all qualified threads that are in NAP state
2,24,HPM_TLBIE,1,,0,832,64,13,Sum of finished TLBIE instructions across qualified threads
3,0,PM_1LPAR_CYC,1,Number of cycles in single lpar mode,0,0,0,0,Number of cycles in single lpar mode. All threads in the core are assigned to the same lpar
3,0,PM_1PLUS_PPC_CMPL,1,1 or more ppc insts finished (completed),0,0,0,0,1 or more ppc insts finished
3,0,PM_1PLUS_PPC_DISP,1,Cycles at least one Instr Dispatched. Could be a group with only microcode. Issue HW016521,0,0,0,0,"Cycles at least one Instr Dispatched,"
3,0,PM_2LPAR_CYC,1,Number of cycles in 2 lpar mode,0,0,0,0,Cycles in 2-lpar mode. Threads 0-3 belong to Lpar0 and threads 4-7 belong to Lpar1
3,0,PM_4LPAR_CYC,1,Number of cycles in 4 LPAR mode,0,0,0,0,"Number of cycles in 4 LPAR mode. Threads 0-1 belong to lpar0, threads 2-3 belong to lpar1, threads 4-5 belong to lpar2, and threads 6-7 belong to lpar3"
3,0,PM_ANY_THRD_RUN_CYC,1,Any thread in run_cycles (was one thread in run_cycles),0,0,0,0,One of threads in run_cycles
3,0,PM_BACK_BR_CMPL,1,,0,0,0,0,Branch instruction completed with a target address less than current instruction address
3,0,PM_BANK_CONFLICT,1,,0,0,0,0,Read blocked due to interleave conflict. The ifar logic will detect an interleave conflict and kill the data that was read that cycle
3,0,PM_BRU_FIN,1,,0,0,0,0,Branch Instruction Finished
3,0,PM_BR_2PATH,1,,0,0,0,0,two path branch
3,0,PM_BR_BC+8,1,,0,0,0,0,Pairable BC+8 branch that has not been converted to a Resolve Finished in the BRU pipeline
3,0,PM_BR_BC+8_CONV,1,,0,0,0,0,Pairable BC+8 branch that was converted to a Resolve Finished in the BRU pipeline
3,0,PM_BR_CMPL,1,,0,0,0,0,Branch Instruction completed
3,0,PM_BR_MPRED_CCACHE,1,,0,0,0,0,Conditional Branch Completed that was Mispredicted due to the Count Cache Target Prediction
3,0,PM_BR_MPRED_CMPL,1,,0,0,0,0,Number of Branch Mispredicts
3,0,PM_BR_MPRED_CR,1,,0,0,0,0,Conditional Branch Completed that was Mispredicted due to the BHT Direction Prediction (taken/not taken)
3,0,PM_BR_MPRED_LSTACK,1,,0,0,0,0,Conditional Branch Completed that was Mispredicted due to the Link Stack Target Prediction
3,0,PM_BR_MPRED_TA,1,,0,0,0,0,Conditional Branch Completed that was Mispredicted due to the Target Address Prediction from the Count Cache or Link Stack. Only XL-form branches that resolved Taken set this event
3,0,PM_BR_MRK_2PATH,1,,0,0,0,0,marked two path branch
3,0,PM_BR_PRED_BR0,1,,0,0,0,0,Conditional Branch Completed on BR0 (1st branch in group) in which the HW predicted the Direction or Target
