domain,name,schema index,event group length,flag,event count,event group offset,event indexes,description
2,HPM_BUS_PUMP_NON_FABRIC_OP,0,64,0,4,960,"(24, 23, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_BUS_PUMP_SYSTEM_TOO_LARGE,0,64,0,4,1152,"(26, 25, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_1PLUS_PPC_CMPL,0,64,0,4,2752,"(29, 47, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_1PLUS_PPC_CMPL_KERNEL,0,64,0,4,6848,"(30, 48, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_1PLUS_PPC_CMPL_USER,0,64,0,4,4800,"(31, 49, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_2_GRP_CMPL,0,64,0,4,2496,"(176, 32, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_2_GRP_CMPL_KERNEL,0,64,0,4,6592,"(177, 33, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_2_GRP_CMPL_USER,0,64,0,4,4544,"(178, 34, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_32MHZ_CYC,0,64,0,4,2240,"(65, 35, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_32MHZ_CYC_KERNEL,0,64,0,4,6336,"(66, 36, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_32MHZ_CYC_USER,0,64,0,4,4288,"(67, 37, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_BRU_CMPL,0,64,0,4,2368,"(92, 38, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_BRU_CMPL_KERNEL,0,64,0,4,6464,"(93, 39, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_BRU_CMPL_USER,0,64,0,4,4416,"(94, 40, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_BR_MPRED,0,64,0,4,2432,"(41, 44, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_BR_MPRED_KERNEL,0,64,0,4,6528,"(42, 45, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_BR_MPRED_USER,0,64,0,4,4480,"(43, 46, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_CORE_GCT_EMPTY_PCYC,0,64,0,4,2624,"(200, 50, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_CORE_GCT_EMPTY_PCYC_KERNEL,0,64,0,4,6720,"(201, 51, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_CORE_GCT_EMPTY_PCYC_USER,0,64,0,4,4672,"(202, 52, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_CORE_MODE_SMT2_CCYC,0,64,0,4,2112,"(62, 53, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_CORE_MODE_SMT2_CCYC_KERNEL,0,64,0,4,6208,"(63, 54, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_CORE_MODE_SMT2_CCYC_USER,0,64,0,4,4160,"(64, 55, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_CORE_MODE_SMT4_CCYC,0,64,0,4,2176,"(56, 59, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_CORE_MODE_SMT4_CCYC_KERNEL,0,64,0,4,6272,"(57, 60, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_CORE_MODE_SMT4_CCYC_USER,0,64,0,4,4224,"(58, 61, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_DATA_TABLEWALK_PCYC,0,64,0,4,2688,"(68, 95, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_DATA_TABLEWALK_PCYC_KERNEL,0,64,0,4,6784,"(69, 96, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_DATA_TABLEWALK_PCYC_USER,0,64,0,4,4736,"(70, 97, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_DERAT_MISS,0,64,0,4,3776,"(71, 89, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_DERAT_MISS_KERNEL,0,64,0,4,7872,"(72, 90, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_DERAT_MISS_USER,0,64,0,4,5824,"(73, 91, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_DISP_HELD_PCYC,0,64,0,4,2560,"(206, 74, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_DISP_HELD_PCYC_KERNEL,0,64,0,4,6656,"(207, 75, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_DISP_HELD_PCYC_USER,0,64,0,4,4608,"(208, 76, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_DTLB_MISS_16G,0,64,0,4,3904,"(80, 77, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_DTLB_MISS_16G_KERNEL,0,64,0,4,8000,"(81, 78, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_DTLB_MISS_16G_USER,0,64,0,4,5952,"(82, 79, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_DTLB_MISS_4K,0,64,0,4,3840,"(83, 86, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_DTLB_MISS_4K_KERNEL,0,64,0,4,7936,"(84, 87, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_DTLB_MISS_4K_USER,0,64,0,4,5888,"(85, 88, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L2_IFETCH,0,64,0,4,2880,"(98, 116, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L2_IFETCH_KERNEL,0,64,0,4,6976,"(99, 117, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L2_IFETCH_USER,0,64,0,4,4928,"(100, 118, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L2_L3_A_IFETCH,0,64,0,4,3072,"(107, 101, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L2_L3_A_IFETCH_KERNEL,0,64,0,4,7168,"(108, 102, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L2_L3_A_IFETCH_USER,0,64,0,4,5120,"(109, 103, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L2_L3_A_LDATA,0,64,0,4,3456,"(110, 104, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L2_L3_A_LDATA_KERNEL,0,64,0,4,7552,"(111, 105, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L2_L3_A_LDATA_USER,0,64,0,4,5504,"(112, 106, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L2_LDATA,0,64,0,4,3264,"(113, 119, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L2_LDATA_KERNEL,0,64,0,4,7360,"(114, 120, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L2_LDATA_USER,0,64,0,4,5312,"(115, 121, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L4_IFETCH,0,64,0,4,3008,"(122, 152, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L4_IFETCH_KERNEL,0,64,0,4,7104,"(123, 153, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L4_IFETCH_USER,0,64,0,4,5056,"(124, 154, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L4_LDATA,0,64,0,4,3392,"(125, 155, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L4_LDATA_KERNEL,0,64,0,4,7488,"(126, 156, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L4_LDATA_USER,0,64,0,4,5440,"(127, 157, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L4_MEM_A_DPTEG,0,64,0,4,3968,"(140, 128, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L4_MEM_A_DPTEG_KERNEL,0,64,0,4,8064,"(141, 129, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L4_MEM_A_DPTEG_USER,0,64,0,4,6016,"(142, 130, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L4_MEM_A_IFETCH,0,64,0,4,3136,"(143, 131, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L4_MEM_A_IFETCH_KERNEL,0,64,0,4,7232,"(144, 132, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L4_MEM_A_IFETCH_USER,0,64,0,4,5184,"(145, 133, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L4_MEM_A_IPTEG,0,64,0,4,3712,"(146, 134, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L4_MEM_A_IPTEG_KERNEL,0,64,0,4,7808,"(147, 135, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L4_MEM_A_IPTEG_USER,0,64,0,4,5760,"(148, 136, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L4_MEM_A_LDATA,0,64,0,4,3520,"(149, 137, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L4_MEM_A_LDATA_KERNEL,0,64,0,4,7616,"(150, 138, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_L4_MEM_A_LDATA_USER,0,64,0,4,5568,"(151, 139, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_MEM_LOCAL,0,64,0,4,4032,"(161, 158, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_MEM_LOCAL_KERNEL,0,64,0,4,8128,"(162, 159, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_MEM_LOCAL_USER,0,64,0,4,6080,"(163, 160, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_ON_CHIP_L2_IFETCH,0,64,0,4,2944,"(164, 170, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_ON_CHIP_L2_IFETCH_KERNEL,0,64,0,4,7040,"(165, 171, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_ON_CHIP_L2_IFETCH_USER,0,64,0,4,4992,"(166, 172, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_ON_CHIP_L2_LDATA,0,64,0,4,3328,"(167, 173, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_ON_CHIP_L2_LDATA_KERNEL,0,64,0,4,7424,"(168, 174, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_FROM_ON_CHIP_L2_LDATA_USER,0,64,0,4,5376,"(169, 175, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_HPM_CS_ST_FIN,0,64,0,4,3584,"(215, 179, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_HPM_CS_ST_FIN_KERNEL,0,64,0,4,7680,"(216, 180, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_HPM_CS_ST_FIN_USER,0,64,0,4,5632,"(217, 181, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_HPM_MISS_L1_LDATA,0,64,0,4,3200,"(182, 65535, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_HPM_MISS_L1_LDATA_KERNEL,0,64,0,4,7296,"(183, 65535, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_HPM_MISS_L1_LDATA_USER,0,64,0,4,5248,"(184, 65535, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_IERAT_MISS,0,64,0,4,3648,"(185, 194, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_IERAT_MISS_KERNEL,0,64,0,4,7744,"(186, 195, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_IERAT_MISS_USER,0,64,0,4,5696,"(187, 196, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_IFETCH_DEMAND_PCYC,0,64,0,4,2816,"(197, 188, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_IFETCH_DEMAND_PCYC_KERNEL,0,64,0,4,6912,"(198, 189, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_IFETCH_DEMAND_PCYC_USER,0,64,0,4,4864,"(199, 190, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_INST,0,64,0,4,2048,"(203, 191, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_INST_KERNEL,0,64,0,4,6144,"(204, 192, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_INST_USER,0,64,0,4,4096,"(205, 193, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_PURR,0,64,0,4,2304,"(212, 209, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_PURR_KERNEL,0,64,0,4,6400,"(213, 210, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_CS_PURR_USER,0,64,0,4,4352,"(214, 211, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_EXT_INT,0,64,0,4,1344,"(218, 226, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_FREQ_SLEW_DOWN_CCYC,0,64,0,4,896,"(219, 220, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_INST,0,64,0,4,0,"(243, 221, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_LARX_FIN,0,64,0,4,832,"(252, 222, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_LWSYNC_PCYC,0,64,0,4,1984,"(223, 246, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_MSR_ADJUNCT_CCYC,0,64,0,4,1728,"(225, 224, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_MSR_HV_CCYC,0,64,0,4,1664,"(228, 227, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_MSR_PRIV_CCYC,0,64,0,4,1536,"(230, 229, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_MSR_PROB_CCYC,0,64,0,4,1600,"(232, 231, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_MSR_TA_LIC_CCYC,0,64,0,4,1792,"(234, 233, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_MSR_TA_SYSTEM_INST,0,64,0,4,1856,"(235, 236, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_MSR_TA_USER_CCYC,0,64,0,4,1920,"(238, 237, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_MSR_TRANSMEM_CCYC,0,64,0,4,1408,"(240, 239, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_STCX_FAIL,0,64,0,4,768,"(245, 244, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_TC_1_CCYC,0,64,0,4,1216,"(247, 248, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_TC_4_CCYC,0,64,0,4,1280,"(249, 250, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
2,HPM_THREAD_NAP_CCYC,0,64,0,4,1472,"(251, 65535, 241, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",
1,PowerBus_BW,1,128,0,8,0,"(0, 1, 2, 2, 3, 4, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0)","PowerBus Data Bandwidth, Total Retry With Domain Increment"
1,Pumps_and_Retries,1,128,0,8,128,"(8, 9, 10, 11, 12, 13, 14, 15, 0, 0, 0, 0, 0, 0, 0, 0)",Total Pumps and retries
1,MCS_Read_BW,1,128,0,8,256,"(16, 17, 18, 19, 20, 21, 22, 23, 0, 0, 0, 0, 0, 0, 0, 0)",Memory Controller Read Bandwidth
1,MCS_Write_BW,1,128,0,8,384,"(24, 25, 26, 27, 28, 29, 30, 31, 0, 0, 0, 0, 0, 0, 0, 0)",Memory Controller Write Bandwidth
1,X-link_data,1,128,0,8,512,"(32, 33, 34, 35, 36, 37, 38, 39, 0, 0, 0, 0, 0, 0, 0, 0)","X-Link Data Bandwidth, X-Link Utilization"
1,X-link_idle,1,128,0,8,640,"(40, 41, 42, 35, 43, 44, 45, 39, 0, 0, 0, 0, 0, 0, 0, 0)","X-Link Idleness, X-Link Utilization"
1,A-link_data,1,128,0,8,768,"(46, 47, 48, 49, 50, 51, 52, 53, 0, 0, 0, 0, 0, 0, 0, 0)","A-Link Data Bandwidth, A-Link Utilization"
1,A-link_idle,1,128,0,8,896,"(54, 55, 56, 49, 57, 58, 59, 53, 0, 0, 0, 0, 0, 0, 0, 0)","A-Link Idleness, A-Link Utilization"
1,PHB-0,1,128,0,8,1024,"(60, 61, 62, 63, 64, 65, 66, 67, 0, 0, 0, 0, 0, 0, 0, 0)",PCI Host Bridge 0 Performance monitor
1,PHB-1,1,128,0,8,1152,"(68, 69, 70, 71, 72, 73, 74, 75, 0, 0, 0, 0, 0, 0, 0, 0)",PCI Host Bridge 1 Performance monitor
1,PHB-2,1,128,0,8,1280,"(76, 77, 78, 79, 80, 81, 82, 83, 0, 0, 0, 0, 0, 0, 0, 0)",PCI Host Bridge 2 Performance monitor
